Listing ID,Listing Title,Page Name,Amount Per Stay,Listing URL
5414987,Hotel Rose Lodge,rose-lodge,$12.27,https://www.booking.com/hotel/in/rose-lodge.html
9185211,Malwade Motel,malwade-motel,$15.28,https://www.booking.com/hotel/in/malwade-motel.html
1653198,Da Casa Business Hotel,da-casa-business,$31.73,https://www.booking.com/hotel/in/da-casa-business.html
12899395,Hotel Royal Palace PUNE,royal-palace-corporate,$21.16,https://www.booking.com/hotel/in/royal-palace-corporate.html
11704514,Hotel Padma Krishna,padma-krishna,$22.74,https://www.booking.com/hotel/in/padma-krishna.html
12340853,FabHotel Royal Palace Inn - Lal Mahal,royal-palace-pune1,$24.69,https://www.booking.com/hotel/in/royal-palace-pune1.html
4207388,Choice Classic Hotel,choice-classic,$14.75,https://www.booking.com/hotel/in/choice-classic.html
794529,Hotel Gandharva Shivajinagar,gandharv-residency,$44.66,https://www.booking.com/hotel/in/gandharv-residency.html
1165454,Hotel Swan Inn,swan-inn,$34.91,https://www.booking.com/hotel/in/swan-inn.html
7246943,Super Collection O Pearl Near Shaniwar Wada,oyo-collection-o-80421-pearl,$20.20,https://www.booking.com/hotel/in/oyo-collection-o-80421-pearl.html
2149472,FabExpress Karishma - Nr KEM Hospital,karishma-pune,$19.48,https://www.booking.com/hotel/in/karishma-pune.html
12467692,Hotel Sayba Executive,sayba-executive,$29.37,https://www.booking.com/hotel/in/sayba-executive.html
6789876,Hotel Radhika Pune,radhika-pune,$12.66,https://www.booking.com/hotel/in/radhika-pune.html
7089455,HOTEL DECCAN ROYAALE,deccan-royaale,$43.15,https://www.booking.com/hotel/in/deccan-royaale.html
2443384,Hotel Parag,parag-pune,$10.57,https://www.booking.com/hotel/in/parag-pune.html
544141,MY Bizz Hotel Sapna,sapna,$37.90,https://www.booking.com/hotel/in/sapna.html
12810901,Super Townhouse Oak JM Road formerly Krishna presidency,capital-o-17108-krishna-presidency,$29.93,https://www.booking.com/hotel/in/capital-o-17108-krishna-presidency.html
12378044,Hotel Tushar,tushar-pune3,$26.44,https://www.booking.com/hotel/in/tushar-pune3.html
6841784,Collection O Kapil Residency Parage Chowk Near Lal Mahal,collection-o-76358-kapil-residency-parage-chowk,$15,https://www.booking.com/hotel/in/collection-o-76358-kapil-residency-parage-chowk.html
4000029,Super Hotel O River View Near Shaniwar Wada,oyo-14929-river-view,$19.27,https://www.booking.com/hotel/in/oyo-14929-river-view.html
1126887,Rutugandh Heritage,rutugandh-heritage,$32.91,https://www.booking.com/hotel/in/rutugandh-heritage.html
10501550,Townhouse Oak Orchard Hotel,orchard-pune2,$31.49,https://www.booking.com/hotel/in/orchard-pune2.html
3117343,FabExpress Gargi Executive - Shaniwar wada,oyo-11545-gargi-executive-pune12345,$23.38,https://www.booking.com/hotel/in/oyo-11545-gargi-executive-pune12345.html
10731220,FabHotel Gargi Suites Shivajinagar,fabhotel-gargi-suites-shivajinagar,$21.29,https://www.booking.com/hotel/in/fabhotel-gargi-suites-shivajinagar.html
544403,Orbett Hotel,orbett,$45.84,https://www.booking.com/hotel/in/orbett.html
383617,"Ramee Grand Hotel and Spa, Pune",ramee-grand,$105.26,https://www.booking.com/hotel/in/ramee-grand.html
1060462,Hotel Shreyas,shreyas-pune,$39.67,https://www.booking.com/hotel/in/shreyas-pune.html
6211975,Hotel O Sunshine Inn Near Pune Railway Station,oyo-70715-sunshine-inn,$18.61,https://www.booking.com/hotel/in/oyo-70715-sunshine-inn.html
6698472,Capital O Span Executive Near Shaniwar Wada,collection-o-74380-span-executive,$16.54,https://www.booking.com/hotel/in/collection-o-74380-span-executive.html
5541630,Hotel Nandanvan Annexe,nandanvan,$16.45,https://www.booking.com/hotel/in/nandanvan.html
5278458,Hotel Centro,centro,$46.97,https://www.booking.com/hotel/in/centro.html
10708220,Hotel Laxminarayan Niwas,laxminarayan-niwas,$15.87,https://www.booking.com/hotel/in/laxminarayan-niwas.html
8333878,FabHotel Gargi Deluxe,capital-o-87843-gargi-deluxe,$16.93,https://www.booking.com/hotel/in/capital-o-87843-gargi-deluxe.html
12844048,"Hotel Ashoka, Pune",ashoka-pune,$31.72,https://www.booking.com/hotel/in/ashoka-pune.html
241756,Shantai Hotel,shantai,$44.96,https://www.booking.com/hotel/in/shantai.html
1301492,Tarawade Clarks Inn Pune,tarawade-clarks-inn-pune,$55.23,https://www.booking.com/hotel/in/tarawade-clarks-inn-pune.html
12946835,FabHotel Olive Suite,fabhotel-olives-suites,$23.38,https://www.booking.com/hotel/in/fabhotel-olives-suites.html
13229231,Malhar Guest House,malhar-guest-house-pune,$10.04,https://www.booking.com/hotel/in/malhar-guest-house-pune.html
1440749,Hotel Ketan,ketan-pune,$76.40,https://www.booking.com/hotel/in/ketan-pune.html
4437356,Maurya Residency,maurya-residency-pune,$14.69,https://www.booking.com/hotel/in/maurya-residency-pune.html
9752040,Hotel Rachana Residency,rachana-residency,$18.51,https://www.booking.com/hotel/in/rachana-residency.html
1476294,Rapid Lakme Executive Hotel,fabhotel-fc-road,$40.34,https://www.booking.com/hotel/in/fabhotel-fc-road.html
2060995,Hotel Rajdeep,rajdeep-pune,$21.16,https://www.booking.com/hotel/in/rajdeep-pune.html
12260334,The Grand Tulip,the-grand-tulip-pune,$44.05,https://www.booking.com/hotel/in/the-grand-tulip-pune.html
2132196,Itsy Hotels Hill View Ex,hill-view-executive,$33.50,https://www.booking.com/hotel/in/hill-view-executive.html
253136,Pride Hotel Pune,best-western-the-pride-pune,$63.11,https://www.booking.com/hotel/in/best-western-the-pride-pune.html
9012461,Hotel Mukesh Residency,m-r-residency-pune,$49.36,https://www.booking.com/hotel/in/m-r-residency-pune.html
11387418,The Ambassador Hotel Pune,the-ambassador-pune-pune,$58.77,https://www.booking.com/hotel/in/the-ambassador-pune-pune.html
3850157,Treebo Ranjeet Shivaji Nagar,treebo-ranjeet,$38.38,https://www.booking.com/hotel/in/treebo-ranjeet.html
10994140,Gandharva Residency Swargate,gandharva-residency-swargate,$21.16,https://www.booking.com/hotel/in/gandharva-residency-swargate.html
